time_sec,gpu_milli,cpu_milli,memory_mib,num_gpu
0,1000,12000,16384,1
3600,1000,12000,16384,1
7200,1000,12000,16384,1
10800,1000,12000,16384,1
14400,1000,12000,16384,1
18000,1000,12000,16384,1
21600,1000,12000,16384,1
25200,1000,12000,16384,1
28800,1000,12000,16384,1
32400,1000,12000,16384,1
36000,1000,12000,16384,1
39600,1000,12000,16384,1
43200,1000,12000,16384,1
46800,1000,12000,16384,1
50400,1000,12000,16384,1
54000,1000,12000,16384,1
57600,1000,12000,16384,1
61200,1000,12000,16384,1
64800,1000,12000,16384,1
68400,1000,12000,16384,1
72000,1000,12000,16384,1
75600,1000,12000,16384,1
79200,1000,12000,16384,1
82800,1000,12000,16384,1
86400,1000,12000,16384,1
90000,1000,12000,16384,1
93600,1000,12000,16384,1
97200,1000,12000,16384,1
100800,1000,12000,16384,1
104400,1000,12000,16384,1
108000,1000,12000,16384,1
111600,1000,12000,16384,1
115200,1000,12000,16384,1
118800,1000,12000,16384,1
122400,1000,12000,16384,1
126000,1000,12000,16384,1
129600,1000,12000,16384,1
133200,1000,12000,16384,1
136800,1000,12000,16384,1
140400,1000,12000,16384,1
144000,1000,12000,16384,1
147600,1000,12000,16384,1
151200,1000,12000,16384,1
154800,1000,12000,16384,1
158400,1000,12000,16384,1
162000,1000,12000,16384,1
165600,1000,12000,16384,1
169200,1000,12000,16384,1
172800,1000,12000,16384,1
176400,1000,12000,16384,1
180000,1000,12000,16384,1
183600,1000,12000,16384,1
187200,1000,12000,16384,1
190800,1000,12000,16384,1
194400,1000,12000,16384,1
198000,1000,12000,16384,1
201600,1000,12000,16384,1
205200,1000,12000,16384,1
208800,1000,12000,16384,1
212400,1000,12000,16384,1
216000,1000,12000,16384,1
219600,1000,12000,16384,1
223200,1000,12000,16384,1
226800,1000,12000,16384,1
230400,1000,12000,16384,1
234000,1000,12000,16384,1
237600,1000,12000,16384,1
241200,1000,12000,16384,1
244800,1000,12000,16384,1
248400,1000,12000,16384,1
252000,1000,12000,16384,1
255600,1000,12000,16384,1
259200,1000,12000,16384,1
262800,1000,12000,16384,1
266400,1000,12000,16384,1
270000,1000,12000,16384,1
273600,1000,12000,16384,1
277200,1000,12000,16384,1
280800,1000,12000,16384,1
284400,1000,12000,16384,1
288000,1000,12000,16384,1
291600,1000,12000,16384,1
295200,1000,12000,16384,1
298800,1000,12000,16384,1
302400,1000,12000,16384,1
306000,1000,12000,16384,1
309600,1000,12000,16384,1
313200,1000,12000,16384,1
316800,1000,12000,16384,1
320400,1000,12000,16384,1
324000,1000,12000,16384,1
327600,1000,12000,16384,1
