time_sec,gpu_milli,cpu_milli,memory_mib,num_gpu
0,1000,12000,16384,1
1800,1000,12000,16384,1
3600,1000,12000,16384,1
5400,1000,12000,16384,1
7200,1000,12000,16384,1
9000,1000,12000,16384,1
10800,1000,12000,16384,1
12600,1000,12000,16384,1
14400,1000,12000,16384,1
16200,1000,12000,16384,1
18000,1000,12000,16384,1
19800,1000,12000,16384,1
21600,1000,12000,16384,1
23400,1000,12000,16384,1
25200,1000,12000,16384,1
27000,1000,12000,16384,1
28800,1000,12000,16384,1
30600,1000,12000,16384,1
32400,1000,12000,16384,1
34200,1000,12000,16384,1
36000,1000,12000,16384,1
37800,1000,12000,16384,1
39600,1000,12000,16384,1
41400,1000,12000,16384,1
43200,1000,12000,16384,1
45000,1000,12000,16384,1
46800,1000,12000,16384,1
48600,1000,12000,16384,1
50400,1000,12000,16384,1
52200,1000,12000,16384,1
54000,1000,12000,16384,1
55800,1000,12000,16384,1
57600,1000,12000,16384,1
59400,1000,12000,16384,1
61200,1000,12000,16384,1
63000,1000,12000,16384,1
64800,1000,12000,16384,1
66600,1000,12000,16384,1
68400,1000,12000,16384,1
70200,1000,12000,16384,1
72000,1000,12000,16384,1
73800,1000,12000,16384,1
75600,1000,12000,16384,1
77400,1000,12000,16384,1
79200,1000,12000,16384,1
81000,1000,12000,16384,1
82800,1000,12000,16384,1
84600,1000,12000,16384,1
86400,1000,12000,16384,1
88200,1000,12000,16384,1
90000,1000,12000,16384,1
91800,1000,12000,16384,1
93600,1000,12000,16384,1
95400,1000,12000,16384,1
97200,1000,12000,16384,1
99000,1000,12000,16384,1
100800,1000,12000,16384,1
102600,1000,12000,16384,1
104400,1000,12000,16384,1
106200,1000,12000,16384,1
108000,1000,12000,16384,1
109800,1000,12000,16384,1
111600,1000,12000,16384,1
113400,1000,12000,16384,1
115200,1000,12000,16384,1
117000,1000,12000,16384,1
118800,1000,12000,16384,1
120600,1000,12000,16384,1
122400,1000,12000,16384,1
124200,1000,12000,16384,1
126000,1000,12000,16384,1
127800,1000,12000,16384,1
129600,1000,12000,16384,1
131400,1000,12000,16384,1
133200,1000,12000,16384,1
135000,1000,12000,16384,1
136800,1000,12000,16384,1
138600,1000,12000,16384,1
140400,1000,12000,16384,1
142200,1000,12000,16384,1
144000,1000,12000,16384,1
145800,1000,12000,16384,1
147600,1000,12000,16384,1
149400,1000,12000,16384,1
151200,1000,12000,16384,1
153000,1000,12000,16384,1
154800,1000,12000,16384,1
156600,1000,12000,16384,1
158400,1000,12000,16384,1
160200,1000,12000,16384,1
162000,1000,12000,16384,1
163800,1000,12000,16384,1
165600,1000,12000,16384,1
167400,1000,12000,16384,1
169200,1000,12000,16384,1
171000,1000,12000,16384,1
172800,1000,12000,16384,1
174600,1000,12000,16384,1
176400,1000,12000,16384,1
178200,1000,12000,16384,1
180000,1000,12000,16384,1
181800,1000,12000,16384,1
183600,1000,12000,16384,1
185400,1000,12000,16384,1
187200,1000,12000,16384,1
189000,1000,12000,16384,1
190800,1000,12000,16384,1
192600,1000,12000,16384,1
194400,1000,12000,16384,1
196200,1000,12000,16384,1
198000,1000,12000,16384,1
199800,1000,12000,16384,1
201600,1000,12000,16384,1
203400,1000,12000,16384,1
205200,1000,12000,16384,1
207000,1000,12000,16384,1
208800,1000,12000,16384,1
210600,1000,12000,16384,1
212400,1000,12000,16384,1
214200,1000,12000,16384,1
216000,1000,12000,16384,1
217800,1000,12000,16384,1
219600,1000,12000,16384,1
221400,1000,12000,16384,1
223200,1000,12000,16384,1
225000,1000,12000,16384,1
226800,1000,12000,16384,1
228600,1000,12000,16384,1
230400,1000,12000,16384,1
232200,1000,12000,16384,1
234000,1000,12000,16384,1
235800,1000,12000,16384,1
237600,1000,12000,16384,1
239400,1000,12000,16384,1
241200,1000,12000,16384,1
243000,1000,12000,16384,1
244800,1000,12000,16384,1
246600,1000,12000,16384,1
248400,1000,12000,16384,1
250200,1000,12000,16384,1
252000,1000,12000,16384,1
253800,1000,12000,16384,1
255600,1000,12000,16384,1
257400,1000,12000,16384,1
259200,1000,12000,16384,1
261000,1000,12000,16384,1
262800,1000,12000,16384,1
264600,1000,12000,16384,1
266400,1000,12000,16384,1
268200,1000,12000,16384,1
270000,1000,12000,16384,1
271800,1000,12000,16384,1
273600,1000,12000,16384,1
275400,1000,12000,16384,1
277200,1000,12000,16384,1
279000,1000,12000,16384,1
280800,1000,12000,16384,1
282600,1000,12000,16384,1
284400,1000,12000,16384,1
286200,1000,12000,16384,1
288000,1000,12000,16384,1
289800,1000,12000,16384,1
291600,1000,12000,16384,1
293400,1000,12000,16384,1
295200,1000,12000,16384,1
297000,1000,12000,16384,1
298800,1000,12000,16384,1
300600,1000,12000,16384,1
302400,1000,12000,16384,1
304200,1000,12000,16384,1
306000,1000,12000,16384,1
307800,1000,12000,16384,1
309600,1000,12000,16384,1
311400,1000,12000,16384,1
313200,1000,12000,16384,1
315000,1000,12000,16384,1
316800,1000,12000,16384,1
318600,1000,12000,16384,1
320400,1000,12000,16384,1
322200,1000,12000,16384,1
324000,1000,12000,16384,1
325800,1000,12000,16384,1
327600,1000,12000,16384,1
329400,1000,12000,16384,1
331200,1000,12000,16384,1
333000,1000,12000,16384,1
334800,1000,12000,16384,1
336600,1000,12000,16384,1
338400,1000,12000,16384,1
340200,1000,12000,16384,1
342000,1000,12000,16384,1
343800,1000,12000,16384,1
345600,1000,12000,16384,1
347400,1000,12000,16384,1
349200,1000,12000,16384,1
351000,1000,12000,16384,1
352800,1000,12000,16384,1
354600,1000,12000,16384,1
356400,1000,12000,16384,1
358200,1000,12000,16384,1
360000,1000,12000,16384,1
361800,1000,12000,16384,1
363600,1000,12000,16384,1
365400,1000,12000,16384,1
367200,1000,12000,16384,1
369000,1000,12000,16384,1
370800,1000,12000,16384,1
372600,1000,12000,16384,1
374400,1000,12000,16384,1
376200,1000,12000,16384,1
378000,1000,12000,16384,1
379800,1000,12000,16384,1
381600,1000,12000,16384,1
383400,1000,12000,16384,1
385200,1000,12000,16384,1
387000,1000,12000,16384,1
388800,1000,12000,16384,1
390600,1000,12000,16384,1
392400,1000,12000,16384,1
394200,1000,12000,16384,1
396000,1000,12000,16384,1
397800,1000,12000,16384,1
399600,1000,12000,16384,1
401400,1000,12000,16384,1
403200,1000,12000,16384,1
405000,1000,12000,16384,1
406800,1000,12000,16384,1
408600,1000,12000,16384,1
410400,1000,12000,16384,1
412200,1000,12000,16384,1
414000,1000,12000,16384,1
415800,1000,12000,16384,1
417600,1000,12000,16384,1
419400,1000,12000,16384,1
421200,1000,12000,16384,1
423000,1000,12000,16384,1
424800,1000,12000,16384,1
426600,1460,18000,28672,2
428400,1460,18000,28672,2
430200,1460,18000,28672,2
432000,1460,18000,28672,2
433800,1460,18000,28672,2
435600,1460,18000,28672,2
437400,1460,18000,28672,2
439200,1460,18000,28672,2
441000,1460,18000,28672,2
442800,1460,18000,28672,2
444600,1460,18000,28672,2
446400,1460,18000,28672,2
448200,1460,18000,28672,2
450000,1460,18000,28672,2
451800,1460,18000,28672,2
453600,1460,18000,28672,2
455400,1460,18000,28672,2
457200,1460,18000,28672,2
459000,1460,18000,28672,2
460800,1460,18000,28672,2
462600,1460,18000,28672,2
