time_sec,gpu_milli,cpu_milli,memory_mib,num_gpu
0,1000,12000,16384,1
600,1000,12000,16384,1
1200,1000,12000,16384,1
1800,1000,12000,16384,1
2400,1000,12000,16384,1
3000,1000,12000,16384,1
3600,1000,12000,16384,1
4200,1000,12000,16384,1
4800,1000,12000,16384,1
5400,1000,12000,16384,1
6000,1000,12000,16384,1
6600,1000,12000,16384,1
7200,1000,12000,16384,1
7800,1000,12000,16384,1
8400,1000,12000,16384,1
9000,1000,12000,16384,1
9600,1000,12000,16384,1
10200,1000,12000,16384,1
10800,1000,12000,16384,1
11400,1000,12000,16384,1
12000,1000,12000,16384,1
12600,1000,12000,16384,1
13200,1000,12000,16384,1
13800,1000,12000,16384,1
14400,1000,12000,16384,1
15000,1000,12000,16384,1
15600,1000,12000,16384,1
16200,1000,12000,16384,1
16800,1000,12000,16384,1
17400,1000,12000,16384,1
18000,1000,12000,16384,1
18600,1000,12000,16384,1
19200,1000,12000,16384,1
19800,1000,12000,16384,1
20400,1000,12000,16384,1
21000,1000,12000,16384,1
21600,1000,12000,16384,1
22200,1000,12000,16384,1
22800,1000,12000,16384,1
23400,1000,12000,16384,1
24000,1000,12000,16384,1
24600,1000,12000,16384,1
25200,1000,12000,16384,1
25800,1000,12000,16384,1
26400,1000,12000,16384,1
27000,1000,12000,16384,1
27600,1000,12000,16384,1
28200,1000,12000,16384,1
28800,1000,12000,16384,1
29400,1000,12000,16384,1
30000,1000,12000,16384,1
30600,1000,12000,16384,1
31200,1000,12000,16384,1
31800,1000,12000,16384,1
32400,1000,12000,16384,1
33000,1000,12000,16384,1
33600,1000,12000,16384,1
34200,1000,12000,16384,1
34800,1000,12000,16384,1
35400,1000,12000,16384,1
36000,1000,12000,16384,1
36600,1000,12000,16384,1
37200,1000,12000,16384,1
37800,1000,12000,16384,1
38400,1000,12000,16384,1
39000,1000,12000,16384,1
39600,1000,12000,16384,1
40200,1000,12000,16384,1
40800,1000,12000,16384,1
41400,1000,12000,16384,1
42000,1000,12000,16384,1
42600,1000,12000,16384,1
43200,1000,12000,16384,1
43800,1000,12000,16384,1
44400,1000,12000,16384,1
45000,1000,12000,16384,1
45600,1000,12000,16384,1
46200,1000,12000,16384,1
46800,1000,12000,16384,1
47400,1000,12000,16384,1
48000,1000,12000,16384,1
48600,1000,12000,16384,1
49200,1000,12000,16384,1
49800,1000,12000,16384,1
50400,1000,12000,16384,1
51000,1000,12000,16384,1
51600,1000,12000,16384,1
52200,1000,12000,16384,1
52800,1000,12000,16384,1
53400,1000,12000,16384,1
54000,1000,12000,16384,1
54600,1000,12000,16384,1
55200,1000,12000,16384,1
55800,1000,12000,16384,1
56400,1000,12000,16384,1
57000,1000,12000,16384,1
57600,1000,12000,16384,1
58200,1000,12000,16384,1
58800,1000,12000,16384,1
59400,1000,12000,16384,1
60000,1000,12000,16384,1
60600,1000,12000,16384,1
61200,1000,12000,16384,1
61800,1000,12000,16384,1
62400,1000,12000,16384,1
63000,1000,12000,16384,1
63600,1000,12000,16384,1
64200,1000,12000,16384,1
64800,1000,12000,16384,1
65400,1000,12000,16384,1
66000,1000,12000,16384,1
66600,1000,12000,16384,1
67200,1000,12000,16384,1
67800,1000,12000,16384,1
68400,1000,12000,16384,1
69000,1000,12000,16384,1
69600,1000,12000,16384,1
70200,1000,12000,16384,1
70800,1000,12000,16384,1
71400,1000,12000,16384,1
72000,1000,12000,16384,1
72600,1000,12000,16384,1
73200,1000,12000,16384,1
73800,1000,12000,16384,1
74400,1000,12000,16384,1
75000,1000,12000,16384,1
75600,1000,12000,16384,1
76200,1000,12000,16384,1
76800,1000,12000,16384,1
77400,1000,12000,16384,1
78000,1000,12000,16384,1
78600,1000,12000,16384,1
79200,1000,12000,16384,1
79800,1000,12000,16384,1
80400,1000,12000,16384,1
81000,1000,12000,16384,1
81600,1000,12000,16384,1
82200,1000,12000,16384,1
82800,1000,12000,16384,1
83400,1000,12000,16384,1
84000,1000,12000,16384,1
84600,1000,12000,16384,1
85200,1000,12000,16384,1
85800,1000,12000,16384,1
86400,1000,12000,16384,1
87000,1000,12000,16384,1
87600,1000,12000,16384,1
88200,1000,12000,16384,1
88800,1000,12000,16384,1
89400,1000,12000,16384,1
90000,1000,12000,16384,1
90600,1000,12000,16384,1
91200,1000,12000,16384,1
91800,1000,12000,16384,1
92400,1000,12000,16384,1
93000,1000,12000,16384,1
93600,1000,12000,16384,1
94200,1000,12000,16384,1
94800,1000,12000,16384,1
95400,1000,12000,16384,1
96000,1000,12000,16384,1
96600,1000,12000,16384,1
97200,1000,12000,16384,1
97800,1000,12000,16384,1
98400,1000,12000,16384,1
99000,1000,12000,16384,1
99600,1000,12000,16384,1
100200,1000,12000,16384,1
100800,1000,12000,16384,1
101400,1000,12000,16384,1
102000,1000,12000,16384,1
102600,1000,12000,16384,1
103200,1000,12000,16384,1
103800,1000,12000,16384,1
104400,1000,12000,16384,1
105000,1000,12000,16384,1
105600,1000,12000,16384,1
106200,1000,12000,16384,1
106800,1000,12000,16384,1
107400,1000,12000,16384,1
108000,1000,12000,16384,1
108600,1000,12000,16384,1
109200,1000,12000,16384,1
109800,1000,12000,16384,1
110400,1000,12000,16384,1
111000,1000,12000,16384,1
111600,1000,12000,16384,1
112200,1000,12000,16384,1
112800,1000,12000,16384,1
113400,1000,12000,16384,1
114000,1000,12000,16384,1
114600,1000,12000,16384,1
115200,1000,12000,16384,1
115800,1000,12000,16384,1
116400,1000,12000,16384,1
117000,1000,12000,16384,1
117600,1000,12000,16384,1
118200,1000,12000,16384,1
118800,1000,12000,16384,1
119400,1000,12000,16384,1
120000,1000,12000,16384,1
120600,1000,12000,16384,1
121200,1000,12000,16384,1
121800,1000,12000,16384,1
122400,1000,12000,16384,1
123000,1000,12000,16384,1
123600,1000,12000,16384,1
124200,1000,12000,16384,1
124800,1000,12000,16384,1
125400,1000,12000,16384,1
126000,1000,12000,16384,1
126600,1000,12000,16384,1
127200,1000,12000,16384,1
127800,1000,12000,16384,1
128400,1000,12000,16384,1
129000,1000,12000,16384,1
129600,1000,12000,16384,1
130200,1000,12000,16384,1
130800,1000,12000,16384,1
131400,1000,12000,16384,1
132000,1000,12000,16384,1
132600,1000,12000,16384,1
133200,1000,12000,16384,1
133800,1000,12000,16384,1
134400,1000,12000,16384,1
135000,1000,12000,16384,1
135600,1000,12000,16384,1
136200,1000,12000,16384,1
136800,1000,12000,16384,1
137400,1000,12000,16384,1
138000,1000,12000,16384,1
138600,1000,12000,16384,1
139200,1000,12000,16384,1
139800,1000,12000,16384,1
140400,1000,12000,16384,1
141000,1000,12000,16384,1
141600,1000,12000,16384,1
142200,1000,12000,16384,1
142800,1000,12000,16384,1
143400,1000,12000,16384,1
144000,1000,12000,16384,1
144600,1000,12000,16384,1
145200,1000,12000,16384,1
145800,1000,12000,16384,1
146400,1000,12000,16384,1
147000,1000,12000,16384,1
147600,1000,12000,16384,1
148200,1000,12000,16384,1
148800,1000,12000,16384,1
149400,1000,12000,16384,1
150000,1000,12000,16384,1
150600,1000,12000,16384,1
151200,1000,12000,16384,1
151800,1000,12000,16384,1
152400,1000,12000,16384,1
153000,1000,12000,16384,1
153600,1000,12000,16384,1
154200,1000,12000,16384,1
154800,1000,12000,16384,1
155400,1000,12000,16384,1
156000,1000,12000,16384,1
156600,1000,12000,16384,1
157200,1000,12000,16384,1
157800,1000,12000,16384,1
158400,1000,12000,16384,1
159000,1000,12000,16384,1
159600,1000,12000,16384,1
160200,1000,12000,16384,1
160800,1000,12000,16384,1
161400,1000,12000,16384,1
162000,1000,12000,16384,1
162600,1000,12000,16384,1
163200,1000,12000,16384,1
163800,1000,12000,16384,1
164400,1000,12000,16384,1
165000,1000,12000,16384,1
165600,1000,12000,16384,1
166200,1000,12000,16384,1
166800,1000,12000,16384,1
167400,1000,12000,16384,1
168000,1000,12000,16384,1
168600,1000,12000,16384,1
169200,1000,12000,16384,1
169800,1000,12000,16384,1
170400,1000,12000,16384,1
171000,1000,12000,16384,1
171600,1000,12000,16384,1
172200,1000,12000,16384,1
172800,1000,12000,16384,1
173400,1000,12000,16384,1
174000,1000,12000,16384,1
174600,1000,12000,16384,1
175200,1000,12000,16384,1
175800,1000,12000,16384,1
176400,1000,12000,16384,1
177000,1000,12000,16384,1
177600,1000,12000,16384,1
178200,1000,12000,16384,1
178800,1000,12000,16384,1
179400,1000,12000,16384,1
180000,1000,12000,16384,1
180600,1000,12000,16384,1
181200,1000,12000,16384,1
181800,1000,12000,16384,1
182400,1000,12000,16384,1
183000,1000,12000,16384,1
183600,1000,12000,16384,1
184200,1000,12000,16384,1
184800,1000,12000,16384,1
185400,1000,12000,16384,1
186000,1000,12000,16384,1
186600,1000,12000,16384,1
187200,1000,12000,16384,1
187800,1000,12000,16384,1
188400,1000,12000,16384,1
189000,1000,12000,16384,1
189600,1000,12000,16384,1
190200,1000,12000,16384,1
190800,1000,12000,16384,1
191400,1000,12000,16384,1
192000,1000,12000,16384,1
192600,1000,12000,16384,1
193200,1000,12000,16384,1
193800,1000,12000,16384,1
194400,1000,12000,16384,1
195000,1000,12000,16384,1
195600,1000,12000,16384,1
196200,1000,12000,16384,1
196800,1000,12000,16384,1
197400,1000,12000,16384,1
198000,1000,12000,16384,1
198600,1000,12000,16384,1
199200,1000,12000,16384,1
199800,1000,12000,16384,1
200400,1000,12000,16384,1
201000,1000,12000,16384,1
201600,1000,12000,16384,1
202200,1000,12000,16384,1
202800,1000,12000,16384,1
203400,1000,12000,16384,1
204000,1000,12000,16384,1
204600,1000,12000,16384,1
205200,1000,12000,16384,1
205800,1000,12000,16384,1
206400,1000,12000,16384,1
207000,1000,12000,16384,1
207600,1000,12000,16384,1
208200,1000,12000,16384,1
208800,1000,12000,16384,1
209400,1000,12000,16384,1
210000,1000,12000,16384,1
210600,1000,12000,16384,1
211200,1000,12000,16384,1
211800,1000,12000,16384,1
212400,1000,12000,16384,1
213000,1000,12000,16384,1
213600,1000,12000,16384,1
214200,1000,12000,16384,1
214800,1000,12000,16384,1
215400,1000,12000,16384,1
216000,1000,12000,16384,1
216600,1000,12000,16384,1
217200,1000,12000,16384,1
217800,1000,12000,16384,1
218400,1000,12000,16384,1
219000,1000,12000,16384,1
219600,1000,12000,16384,1
220200,1000,12000,16384,1
220800,1000,12000,16384,1
221400,1000,12000,16384,1
222000,1000,12000,16384,1
222600,1000,12000,16384,1
223200,1000,12000,16384,1
223800,1000,12000,16384,1
224400,1000,12000,16384,1
225000,1000,12000,16384,1
225600,1000,12000,16384,1
226200,1000,12000,16384,1
226800,1000,12000,16384,1
227400,1000,12000,16384,1
228000,1000,12000,16384,1
228600,1000,12000,16384,1
229200,1000,12000,16384,1
229800,1000,12000,16384,1
230400,1000,12000,16384,1
231000,1000,12000,16384,1
231600,1000,12000,16384,1
232200,1000,12000,16384,1
232800,1000,12000,16384,1
233400,1000,12000,16384,1
234000,1000,12000,16384,1
234600,1000,12000,16384,1
235200,1000,12000,16384,1
235800,1000,12000,16384,1
236400,1000,12000,16384,1
237000,1000,12000,16384,1
237600,1000,12000,16384,1
238200,1000,12000,16384,1
238800,1000,12000,16384,1
239400,1000,12000,16384,1
240000,1000,12000,16384,1
240600,1000,12000,16384,1
241200,1000,12000,16384,1
241800,1000,12000,16384,1
242400,1000,12000,16384,1
243000,1000,12000,16384,1
243600,1000,12000,16384,1
244200,1000,12000,16384,1
244800,1000,12000,16384,1
245400,1000,12000,16384,1
246000,1000,12000,16384,1
246600,1000,12000,16384,1
247200,1000,12000,16384,1
247800,1000,12000,16384,1
248400,1000,12000,16384,1
249000,1000,12000,16384,1
249600,1000,12000,16384,1
250200,1000,12000,16384,1
250800,1000,12000,16384,1
251400,1000,12000,16384,1
252000,1000,12000,16384,1
252600,1000,12000,16384,1
253200,1000,12000,16384,1
253800,1000,12000,16384,1
254400,1000,12000,16384,1
255000,1000,12000,16384,1
255600,1000,12000,16384,1
256200,1000,12000,16384,1
256800,1000,12000,16384,1
257400,1000,12000,16384,1
258000,1000,12000,16384,1
258600,1000,12000,16384,1
259200,1000,12000,16384,1
259800,1000,12000,16384,1
260400,1000,12000,16384,1
261000,1000,12000,16384,1
261600,1000,12000,16384,1
262200,1000,12000,16384,1
262800,1000,12000,16384,1
263400,1000,12000,16384,1
264000,1000,12000,16384,1
264600,1000,12000,16384,1
265200,1000,12000,16384,1
265800,1000,12000,16384,1
266400,1000,12000,16384,1
267000,1000,12000,16384,1
267600,1000,12000,16384,1
268200,1000,12000,16384,1
268800,1000,12000,16384,1
269400,1000,12000,16384,1
270000,1000,12000,16384,1
270600,1000,12000,16384,1
271200,1000,12000,16384,1
271800,1000,12000,16384,1
272400,1000,12000,16384,1
273000,1000,12000,16384,1
273600,1000,12000,16384,1
274200,1000,12000,16384,1
274800,1000,12000,16384,1
275400,1000,12000,16384,1
276000,1000,12000,16384,1
276600,1000,12000,16384,1
277200,1000,12000,16384,1
277800,1000,12000,16384,1
278400,1000,12000,16384,1
279000,1000,12000,16384,1
279600,1000,12000,16384,1
280200,1000,12000,16384,1
280800,1000,12000,16384,1
281400,1000,12000,16384,1
282000,1000,12000,16384,1
282600,1000,12000,16384,1
283200,1000,12000,16384,1
283800,1000,12000,16384,1
284400,1000,12000,16384,1
285000,1000,12000,16384,1
285600,1000,12000,16384,1
286200,1000,12000,16384,1
286800,1000,12000,16384,1
287400,1000,12000,16384,1
288000,1000,12000,16384,1
288600,1000,12000,16384,1
289200,1000,12000,16384,1
289800,1000,12000,16384,1
290400,1000,12000,16384,1
291000,1000,12000,16384,1
291600,1000,12000,16384,1
292200,1000,12000,16384,1
292800,1000,12000,16384,1
293400,1000,12000,16384,1
294000,1000,12000,16384,1
294600,1000,12000,16384,1
295200,1000,12000,16384,1
295800,1000,12000,16384,1
296400,1000,12000,16384,1
297000,1000,12000,16384,1
297600,1000,12000,16384,1
298200,1000,12000,16384,1
298800,1000,12000,16384,1
299400,1000,12000,16384,1
300000,1000,12000,16384,1
300600,1000,12000,16384,1
301200,1000,12000,16384,1
301800,1000,12000,16384,1
302400,1000,12000,16384,1
303000,1000,12000,16384,1
303600,1000,12000,16384,1
304200,1000,12000,16384,1
304800,1000,12000,16384,1
305400,1000,12000,16384,1
306000,1000,12000,16384,1
306600,1000,12000,16384,1
307200,1000,12000,16384,1
307800,1000,12000,16384,1
308400,1000,12000,16384,1
309000,1000,12000,16384,1
309600,1000,12000,16384,1
310200,1000,12000,16384,1
310800,1000,12000,16384,1
311400,1000,12000,16384,1
312000,1000,12000,16384,1
312600,1000,12000,16384,1
313200,1000,12000,16384,1
313800,1000,12000,16384,1
314400,1000,12000,16384,1
315000,1000,12000,16384,1
315600,1000,12000,16384,1
316200,1000,12000,16384,1
316800,1000,12000,16384,1
317400,1000,12000,16384,1
318000,1000,12000,16384,1
318600,1000,12000,16384,1
319200,1000,12000,16384,1
319800,1000,12000,16384,1
320400,1000,12000,16384,1
321000,1000,12000,16384,1
321600,1000,12000,16384,1
322200,1000,12000,16384,1
322800,1000,12000,16384,1
323400,1000,12000,16384,1
324000,1000,12000,16384,1
324600,1000,12000,16384,1
325200,1000,12000,16384,1
325800,1000,12000,16384,1
326400,1000,12000,16384,1
327000,1000,12000,16384,1
327600,1000,12000,16384,1
328200,1000,12000,16384,1
328800,1000,12000,16384,1
329400,1000,12000,16384,1
330000,1000,12000,16384,1
330600,1000,12000,16384,1
331200,1000,12000,16384,1
331800,1000,12000,16384,1
332400,1000,12000,16384,1
333000,1000,12000,16384,1
333600,1000,12000,16384,1
334200,1000,12000,16384,1
334800,1000,12000,16384,1
335400,1000,12000,16384,1
336000,1000,12000,16384,1
336600,1000,12000,16384,1
337200,1000,12000,16384,1
337800,1000,12000,16384,1
338400,1000,12000,16384,1
339000,1000,12000,16384,1
339600,1000,12000,16384,1
340200,1000,12000,16384,1
340800,1000,12000,16384,1
341400,1000,12000,16384,1
342000,1000,12000,16384,1
342600,1000,12000,16384,1
343200,1000,12000,16384,1
343800,1000,12000,16384,1
344400,1000,12000,16384,1
345000,1000,12000,16384,1
345600,1000,12000,16384,1
346200,1000,12000,16384,1
346800,1000,12000,16384,1
347400,1000,12000,16384,1
348000,1000,12000,16384,1
348600,1000,12000,16384,1
349200,1000,12000,16384,1
349800,1000,12000,16384,1
350400,1000,12000,16384,1
351000,1000,12000,16384,1
351600,1000,12000,16384,1
352200,1000,12000,16384,1
352800,1000,12000,16384,1
353400,1000,12000,16384,1
354000,1000,12000,16384,1
354600,1000,12000,16384,1
355200,1000,12000,16384,1
355800,1000,12000,16384,1
356400,1000,12000,16384,1
357000,1000,12000,16384,1
357600,1000,12000,16384,1
358200,1000,12000,16384,1
358800,1000,12000,16384,1
359400,1000,12000,16384,1
360000,1000,12000,16384,1
360600,1000,12000,16384,1
361200,1000,12000,16384,1
361800,1000,12000,16384,1
362400,1000,12000,16384,1
363000,1000,12000,16384,1
363600,1000,12000,16384,1
364200,1000,12000,16384,1
364800,1000,12000,16384,1
365400,1000,12000,16384,1
366000,1000,12000,16384,1
366600,1000,12000,16384,1
367200,1000,12000,16384,1
367800,1000,12000,16384,1
368400,1000,12000,16384,1
369000,1000,12000,16384,1
369600,1000,12000,16384,1
370200,1000,12000,16384,1
370800,1000,12000,16384,1
371400,1000,12000,16384,1
372000,1000,12000,16384,1
372600,1000,12000,16384,1
373200,1000,12000,16384,1
373800,1000,12000,16384,1
374400,1000,12000,16384,1
375000,1000,12000,16384,1
375600,1000,12000,16384,1
376200,1000,12000,16384,1
376800,1000,12000,16384,1
377400,1000,12000,16384,1
378000,1000,12000,16384,1
378600,1000,12000,16384,1
379200,1000,12000,16384,1
379800,1000,12000,16384,1
380400,1000,12000,16384,1
381000,1000,12000,16384,1
381600,1000,12000,16384,1
382200,1000,12000,16384,1
382800,1000,12000,16384,1
383400,1000,12000,16384,1
384000,1000,12000,16384,1
384600,1000,12000,16384,1
385200,1000,12000,16384,1
385800,1000,12000,16384,1
386400,1000,12000,16384,1
387000,1000,12000,16384,1
387600,1000,12000,16384,1
388200,1000,12000,16384,1
388800,1000,12000,16384,1
389400,1000,12000,16384,1
390000,1000,12000,16384,1
390600,1000,12000,16384,1
391200,1000,12000,16384,1
391800,1000,12000,16384,1
392400,1000,12000,16384,1
393000,1000,12000,16384,1
393600,1000,12000,16384,1
394200,1000,12000,16384,1
394800,1000,12000,16384,1
395400,1000,12000,16384,1
396000,1000,12000,16384,1
396600,1000,12000,16384,1
397200,1000,12000,16384,1
397800,1000,12000,16384,1
398400,1000,12000,16384,1
399000,1000,12000,16384,1
399600,1000,12000,16384,1
400200,1000,12000,16384,1
400800,1000,12000,16384,1
401400,1000,12000,16384,1
402000,1000,12000,16384,1
402600,1000,12000,16384,1
403200,1000,12000,16384,1
403800,1000,12000,16384,1
404400,1000,12000,16384,1
405000,1000,12000,16384,1
405600,1000,12000,16384,1
406200,1000,12000,16384,1
406800,1000,12000,16384,1
407400,1000,12000,16384,1
408000,1000,12000,16384,1
408600,1000,12000,16384,1
409200,1000,12000,16384,1
409800,1000,12000,16384,1
410400,1000,12000,16384,1
411000,1000,12000,16384,1
411600,1000,12000,16384,1
412200,1000,12000,16384,1
412800,1000,12000,16384,1
413400,1000,12000,16384,1
414000,1000,12000,16384,1
414600,1000,12000,16384,1
415200,1000,12000,16384,1
415800,1000,12000,16384,1
416400,1000,12000,16384,1
417000,1000,12000,16384,1
417600,1000,12000,16384,1
418200,1000,12000,16384,1
418800,1000,12000,16384,1
419400,1000,12000,16384,1
420000,1000,12000,16384,1
420600,1000,12000,16384,1
421200,1000,12000,16384,1
421800,1000,12000,16384,1
422400,1000,12000,16384,1
423000,1000,12000,16384,1
423600,1000,12000,16384,1
424200,1000,12000,16384,1
424800,1000,12000,16384,1
425400,1000,12000,16384,1
426000,1000,12000,16384,1
426600,1460,18000,28672,2
427200,1460,18000,28672,2
427800,1460,18000,28672,2
428400,1460,18000,28672,2
429000,1460,18000,28672,2
429600,1460,18000,28672,2
430200,1460,18000,28672,2
430800,1460,18000,28672,2
431400,1460,18000,28672,2
432000,1460,18000,28672,2
432600,1460,18000,28672,2
433200,1460,18000,28672,2
433800,1460,18000,28672,2
434400,1460,18000,28672,2
435000,1460,18000,28672,2
435600,1460,18000,28672,2
436200,1460,18000,28672,2
436800,1460,18000,28672,2
437400,1460,18000,28672,2
438000,1460,18000,28672,2
438600,1460,18000,28672,2
439200,1460,18000,28672,2
439800,1460,18000,28672,2
440400,1460,18000,28672,2
441000,1460,18000,28672,2
441600,1460,18000,28672,2
442200,1460,18000,28672,2
442800,1460,18000,28672,2
443400,1460,18000,28672,2
444000,1460,18000,28672,2
444600,1460,18000,28672,2
445200,1460,18000,28672,2
445800,1460,18000,28672,2
446400,1460,18000,28672,2
447000,1460,18000,28672,2
447600,1460,18000,28672,2
448200,1460,18000,28672,2
448800,1460,18000,28672,2
449400,1460,18000,28672,2
450000,1460,18000,28672,2
450600,1460,18000,28672,2
451200,1460,18000,28672,2
451800,1460,18000,28672,2
452400,1460,18000,28672,2
453000,1460,18000,28672,2
453600,1460,18000,28672,2
454200,1460,18000,28672,2
454800,1460,18000,28672,2
455400,1460,18000,28672,2
456000,1460,18000,28672,2
456600,1460,18000,28672,2
457200,1460,18000,28672,2
457800,1460,18000,28672,2
458400,1460,18000,28672,2
459000,1460,18000,28672,2
459600,1460,18000,28672,2
460200,1460,18000,28672,2
460800,1460,18000,28672,2
461400,1460,18000,28672,2
462000,1460,18000,28672,2
462600,1460,18000,28672,2
463200,1460,18000,28672,2
463800,1460,18000,28672,2
464400,1460,18000,28672,2
465000,1460,18000,28672,2
465600,1460,18000,28672,2
466200,1460,18000,28672,2
466800,1460,18000,28672,2
467400,1460,18000,28672,2
468000,1460,18000,28672,2
468600,1460,18000,28672,2
469200,1460,18000,28672,2
469800,1460,18000,28672,2
470400,1460,18000,28672,2
471000,1460,18000,28672,2
471600,1460,18000,28672,2
472200,1460,18000,28672,2
472800,1460,18000,28672,2
473400,1460,18000,28672,2
474000,1460,18000,28672,2
474600,1460,18000,28672,2
475200,1460,18000,28672,2
475800,1460,18000,28672,2
476400,1460,18000,28672,2
477000,1460,18000,28672,2
477600,1460,18000,28672,2
478200,1460,18000,28672,2
478800,1460,18000,28672,2
479400,1460,18000,28672,2
480000,1460,18000,28672,2
480600,1460,18000,28672,2
481200,1460,18000,28672,2
481800,1460,18000,28672,2
482400,1460,18000,28672,2
483000,1460,18000,28672,2
483600,1460,18000,28672,2
484200,1460,18000,28672,2
484800,1460,18000,28672,2
