time_sec,gpu_milli,cpu_milli,memory_mib,num_gpu
3229200,5920,84000,180224,7
3232800,5920,84000,180224,7
3236400,5920,84000,180224,7
3240000,5920,84000,180224,7
3243600,5920,84000,180224,7
3247200,5920,84000,180224,7
3250800,5920,84000,180224,7
3254400,5920,84000,180224,7
3258000,5920,84000,180224,7
3261600,5920,84000,180224,7
3265200,5920,84000,180224,7
3268800,5920,84000,180224,7
3272400,5920,84000,180224,7
3276000,5920,84000,180224,7
3279600,5920,84000,180224,7
3283200,5920,84000,180224,7
3286800,5920,84000,180224,7
3290400,5920,84000,180224,7
3294000,5920,84000,180224,7
3297600,5920,84000,180224,7
3301200,5920,84000,180224,7
3304800,5920,84000,180224,7
3308400,5920,84000,180224,7
3312000,5920,84000,180224,7
3315600,5920,84000,180224,7
3319200,5920,84000,180224,7
3322800,5920,84000,180224,7
3326400,5920,84000,180224,7
3330000,5920,84000,180224,7
3333600,5920,84000,180224,7
3337200,5920,84000,180224,7
3340800,5920,84000,180224,7
3344400,5920,84000,180224,7
3348000,5920,84000,180224,7
3351600,5920,84000,180224,7
3355200,5920,84000,180224,7
3358800,5920,84000,180224,7
3362400,5920,84000,180224,7
3366000,5920,84000,180224,7
3369600,5920,84000,180224,7
3373200,5920,84000,180224,7
3376800,5920,84000,180224,7
3380400,5920,84000,180224,7
3384000,5920,84000,180224,7
3387600,5920,84000,180224,7
3391200,5920,84000,180224,7
3394800,5920,84000,180224,7
3398400,5920,84000,180224,7
3402000,5920,84000,180224,7
3405600,5920,84000,180224,7
3409200,5920,84000,180224,7
3412800,5920,84000,180224,7
3416400,5920,84000,180224,7
3420000,5920,84000,180224,7
3423600,5920,84000,180224,7
3427200,5920,84000,180224,7
3430800,5920,84000,180224,7
3434400,5920,84000,180224,7
3438000,5920,84000,180224,7
3441600,5920,84000,180224,7
3445200,5920,84000,180224,7
3448800,5920,84000,180224,7
3452400,5920,84000,180224,7
3456000,5920,84000,180224,7
3459600,5920,84000,180224,7
3463200,5920,84000,180224,7
3466800,5920,84000,180224,7
3470400,5920,84000,180224,7
3474000,5920,84000,180224,7
3477600,5920,84000,180224,7
3481200,5920,84000,180224,7
3484800,5920,84000,180224,7
3488400,5920,84000,180224,7
3492000,5920,84000,180224,7
3495600,5920,84000,180224,7
3499200,5920,84000,180224,7
3502800,5920,84000,180224,7
3506400,5920,84000,180224,7
3510000,5920,84000,180224,7
3513600,5920,84000,180224,7
3517200,5920,84000,180224,7
3520800,5920,84000,180224,7
3524400,5920,84000,180224,7
3528000,5920,84000,180224,7
3531600,5920,84000,180224,7
3535200,5920,84000,180224,7
3538800,5920,84000,180224,7
3542400,5920,84000,180224,7
3546000,5920,84000,180224,7
3549600,5920,84000,180224,7
3553200,5920,84000,180224,7
3556800,5920,84000,180224,7
3560400,5920,84000,180224,7
3564000,5920,84000,180224,7
3567600,5920,84000,180224,7
3571200,5920,84000,180224,7
3574800,5920,84000,180224,7
3578400,5920,84000,180224,7
3582000,5920,84000,180224,7
3585600,5920,84000,180224,7
3589200,5920,84000,180224,7
3592800,5920,84000,180224,7
3596400,5920,84000,180224,7
3600000,5920,84000,180224,7
3603600,5920,84000,180224,7
3607200,5920,84000,180224,7
3610800,5920,84000,180224,7
3614400,5920,84000,180224,7
3618000,5920,84000,180224,7
3621600,5920,84000,180224,7
3625200,5920,84000,180224,7
3628800,5920,84000,180224,7
3632400,5920,84000,180224,7
3636000,5920,84000,180224,7
3639600,5920,84000,180224,7
3643200,5920,84000,180224,7
3646800,5920,84000,180224,7
3650400,5920,84000,180224,7
3654000,5920,84000,180224,7
3657600,5920,84000,180224,7
3661200,5920,84000,180224,7
3664800,5920,84000,180224,7
3668400,5920,84000,180224,7
3672000,5920,84000,180224,7
3675600,5920,84000,180224,7
3679200,5920,84000,180224,7
3682800,5920,84000,180224,7
3686400,5920,84000,180224,7
3690000,5920,84000,180224,7
3693600,5920,84000,180224,7
3697200,5920,84000,180224,7
3700800,5920,84000,180224,7
3704400,5920,84000,180224,7
3708000,5920,84000,180224,7
3711600,5920,84000,180224,7
3715200,5920,84000,180224,7
3718800,5920,84000,180224,7
3722400,5920,84000,180224,7
3726000,5920,84000,180224,7
3729600,5920,84000,180224,7
3733200,5920,84000,180224,7
3736800,5920,84000,180224,7
3740400,5920,84000,180224,7
3744000,5920,84000,180224,7
3747600,5920,84000,180224,7
3751200,5920,84000,180224,7
3754800,5920,84000,180224,7
3758400,5920,84000,180224,7
3762000,5920,84000,180224,7
3765600,5920,84000,180224,7
3769200,5920,84000,180224,7
3772800,5920,84000,180224,7
3776400,5920,84000,180224,7
3780000,5920,84000,180224,7
3783600,5920,84000,180224,7
3787200,5920,84000,180224,7
3790800,5920,84000,180224,7
3794400,5920,84000,180224,7
3798000,5920,84000,180224,7
3801600,5920,84000,180224,7
3805200,5920,84000,180224,7
3808800,5920,84000,180224,7
3812400,5920,84000,180224,7
3816000,5920,84000,180224,7
3819600,5920,84000,180224,7
3823200,5920,84000,180224,7
3826800,5920,84000,180224,7
3830400,5920,84000,180224,7
3834000,5920,84000,180224,7
3837600,5920,84000,180224,7
3841200,5920,84000,180224,7
3844800,5920,84000,180224,7
3848400,5920,84000,180224,7
3852000,5920,84000,180224,7
3855600,5920,84000,180224,7
3859200,5920,84000,180224,7
3862800,5920,84000,180224,7
3866400,5920,84000,180224,7
3870000,5920,84000,180224,7
3873600,5920,84000,180224,7
3877200,5920,84000,180224,7
3880800,5920,84000,180224,7
3884400,5920,84000,180224,7
3888000,5920,84000,180224,7
3891600,5920,84000,180224,7
3895200,5920,84000,180224,7
3898800,5920,84000,180224,7
3902400,5920,84000,180224,7
3906000,5920,84000,180224,7
3909600,5920,84000,180224,7
3913200,5920,84000,180224,7
3916800,5920,84000,180224,7
3920400,5920,84000,180224,7
3924000,5920,84000,180224,7
3927600,5920,84000,180224,7
3931200,5920,84000,180224,7
3934800,5920,84000,180224,7
3938400,5920,84000,180224,7
3942000,5920,84000,180224,7
3945600,5920,84000,180224,7
3949200,5920,84000,180224,7
3952800,5920,84000,180224,7
3956400,5920,84000,180224,7
3960000,5920,84000,180224,7
3963600,5920,84000,180224,7
3967200,5920,84000,180224,7
3970800,5920,84000,180224,7
3974400,5920,84000,180224,7
3978000,5920,84000,180224,7
3981600,5920,84000,180224,7
3985200,5920,84000,180224,7
3988800,5920,84000,180224,7
3992400,5920,84000,180224,7
3996000,5920,84000,180224,7
3999600,5920,84000,180224,7
4003200,5920,84000,180224,7
4006800,5920,84000,180224,7
4010400,5920,84000,180224,7
4014000,5920,84000,180224,7
4017600,5920,84000,180224,7
4021200,5920,84000,180224,7
4024800,5920,84000,180224,7
4028400,5920,84000,180224,7
4032000,5920,84000,180224,7
4035600,5920,84000,180224,7
4039200,5920,84000,180224,7
4042800,5920,84000,180224,7
4046400,5920,84000,180224,7
4050000,5920,84000,180224,7
4053600,5920,84000,180224,7
4057200,5920,84000,180224,7
4060800,5920,84000,180224,7
4064400,5920,84000,180224,7
4068000,5920,84000,180224,7
4071600,5920,84000,180224,7
4075200,5920,84000,180224,7
4078800,5920,84000,180224,7
4082400,5920,84000,180224,7
4086000,5920,84000,180224,7
4089600,5920,84000,180224,7
4093200,5920,84000,180224,7
4096800,5920,84000,180224,7
4100400,5920,84000,180224,7
4104000,5920,84000,180224,7
4107600,5920,84000,180224,7
4111200,5920,84000,180224,7
4114800,5920,84000,180224,7
4118400,5920,84000,180224,7
4122000,5920,84000,180224,7
4125600,5920,84000,180224,7
4129200,6920,96000,196608,8
